"AdminArea" "Province" "Municipality" "med_price_house" "newshops" "bankrupcies" "Mean_income" "tax_forms" "hotel_restaur" "Industries" "health_social"
"Vlaams_Gewest" "Antwerpen" "Aartselaar" 284.5 15 358 34.51654 8285 56 77 15
"Vlaams_Gewest" "Antwerpen" "Antwerpen" 235 199 15539 24.21984 281656 2826 2005 377
"Vlaams_Gewest" "Antwerpen" "Boechout" 287.5 1 120 31.40058 7191 39 44 19
"Vlaams_Gewest" "Antwerpen" "Boom" 185 5 253 25.88609 9787 70 71 17
"Vlaams_Gewest" "Antwerpen" "Borsbeek" 287.5 9 109 27.84929 6237 29 39 9
"Vlaams_Gewest" "Antwerpen" "Brasschaat" 272 17 650 32.64046 21489 152 127 46
"Vlaams_Gewest" "Antwerpen" "Brecht" 236 4 402 30.18904 15230 131 127 37
"Vlaams_Gewest" "Antwerpen" "Edegem" 300 7 209 33.12001 12652 55 64 20
"Vlaams_Gewest" "Antwerpen" "Essen" 215 7 252 28.034 9363 80 101 21
"Vlaams_Gewest" "Antwerpen" "Hemiksem" 227 0 104 27.70692 5836 29 44 8
"Vlaams_Gewest" "Antwerpen" "Hove_Antwerpen" 280 0 61 37.92843 4575 23 33 11
"Vlaams_Gewest" "Antwerpen" "Kalmthout" 252 10 250 30.6116 9652 77 87 29
"Vlaams_Gewest" "Antwerpen" "Kapellen_Antwerpen" 230 15 467 32.68223 14996 109 112 23
"Vlaams_Gewest" "Antwerpen" "Kontich" 270 10 330 32.81491 11508 89 126 27
"Vlaams_Gewest" "Antwerpen" "Lint" 285 0 81 32.38708 4576 22 35 8
"Vlaams_Gewest" "Antwerpen" "Mortsel" 295 15 348 29.95213 14763 108 83 29
"Vlaams_Gewest" "Antwerpen" "Niel" 185 0 97 26.31067 5397 42 39 4
"Vlaams_Gewest" "Antwerpen" "Ranst" 270 2 223 30.95513 10272 76 100 28
"Vlaams_Gewest" "Antwerpen" "Rumst" 240 1 172 30.59032 8450 59 72 18
"Vlaams_Gewest" "Antwerpen" "Schelle" 252.5 14 92 29.98793 4591 25 24 4
"Vlaams_Gewest" "Antwerpen" "Schilde" 301 8 361 35.94348 10864 105 111 29
"Vlaams_Gewest" "Antwerpen" "Schoten" 255 33 508 29.70343 19299 129 163 32
"Vlaams_Gewest" "Antwerpen" "Stabroek" 242 8 175 31.10655 10278 64 55 19
"Vlaams_Gewest" "Antwerpen" "Wijnegem" 265 32 158 28.91823 5368 64 62 17
"Vlaams_Gewest" "Antwerpen" "Wommelgem" 272.5 6 279 29.11214 7131 55 91 8
"Vlaams_Gewest" "Antwerpen" "Wuustwezel" 274.832 7 243 27.71811 10430 76 109 26
"Vlaams_Gewest" "Antwerpen" "Zandhoven" 300 4 177 29.65909 7185 81 74 16
"Vlaams_Gewest" "Antwerpen" "Zoersel" 285 4 287 32.02423 11971 73 91 19
"Vlaams_Gewest" "Antwerpen" "Zwijndrecht" 220 4 222 29.01093 11239 80 78 12
"Vlaams_Gewest" "Antwerpen" "Malle" 271 0 251 28.48209 8207 80 122 13
"Vlaams_Gewest" "Antwerpen" "Berlaar" 239.5 3 86 27.40856 6246 42 44 11
"Vlaams_Gewest" "Antwerpen" "Bonheiden" 252.5 0 154 35.48914 8347 59 58 21
"Vlaams_Gewest" "Antwerpen" "Bornem" 237.5 10 190 30.25034 11846 105 104 16
"Vlaams_Gewest" "Antwerpen" "Duffel" 250 2 172 28.70348 9771 51 69 14
"Vlaams_Gewest" "Antwerpen" "Heist_op_den_Berg" 225 22 392 27.21694 23320 195 176 26
"Vlaams_Gewest" "Antwerpen" "Lier" 222 39 568 27.67312 20406 205 172 33
"Vlaams_Gewest" "Antwerpen" "Mechelen" 229.5 63 1285 27.34896 47445 423 332 71
"Vlaams_Gewest" "Antwerpen" "Nijlen" 230 3 153 27.55801 12247 100 102 23
"Vlaams_Gewest" "Antwerpen" "Putte" 225 3 188 28.84176 9435 89 84 17
"Vlaams_Gewest" "Antwerpen" "Puurs" 234.5 6 151 30.19575 9441 70 110 16
"Vlaams_Gewest" "Antwerpen" "Sint_Amands" 237.1 2 63 29.13532 4483 30 31 5
"Vlaams_Gewest" "Antwerpen" "Sint_Katelijne_Waver" 260 4 227 30.24704 11383 72 96 19
"Vlaams_Gewest" "Antwerpen" "Willebroek" 210 6 299 27.69125 13804 111 124 18
"Vlaams_Gewest" "Antwerpen" "Arendonk" 210 1 147 26.17319 7040 59 78 8
"Vlaams_Gewest" "Antwerpen" "Baarle_Hertog" 225 1 69 24.36528 1333 19 14 0
"Vlaams_Gewest" "Antwerpen" "Balen" 179.5 4 236 26.59372 12037 109 106 16
"Vlaams_Gewest" "Antwerpen" "Beerse" 239.5 0 223 29.73259 9413 63 92 18
"Vlaams_Gewest" "Antwerpen" "Dessel" 210 1 84 26.81961 5072 46 46 4
"Vlaams_Gewest" "Antwerpen" "Geel" 225 29 592 27.98231 21669 189 152 57
"Vlaams_Gewest" "Antwerpen" "Grobbendonk" 223 1 135 29.68283 6168 61 72 8
"Vlaams_Gewest" "Antwerpen" "Herentals" 213.5 21 495 26.66192 16306 148 181 26
"Vlaams_Gewest" "Antwerpen" "Herenthout" 227.5 1 88 27.0325 5067 53 47 6
"Vlaams_Gewest" "Antwerpen" "Herselt" 227.5 1 172 27.18469 8317 59 57 19
"Vlaams_Gewest" "Antwerpen" "Hoogstraten" 265 12 448 27.30458 10751 117 153 27
"Vlaams_Gewest" "Antwerpen" "Hulshout" 195 1 109 26.87717 5675 55 51 2
"Vlaams_Gewest" "Antwerpen" "Kasterlee" 241.5 2 194 28.78052 10232 130 72 23
"Vlaams_Gewest" "Antwerpen" "Lille" 260 2 171 27.86576 9180 68 92 13
"Vlaams_Gewest" "Antwerpen" "Meerhout" 200 1 91 27.41762 5679 55 41 7
"Vlaams_Gewest" "Antwerpen" "Merksplas" 198 1 101 27.81646 4578 37 48 15
"Vlaams_Gewest" "Antwerpen" "Mol" 200 28 452 27.91515 19623 229 135 40
"Vlaams_Gewest" "Antwerpen" "Olen" 225 10 154 28.2032 6732 68 73 7
"Vlaams_Gewest" "Antwerpen" "Oud_Turnhout" 221 4 170 30.61742 7203 57 52 8
"Vlaams_Gewest" "Antwerpen" "Ravels" 230 0 244 26.22523 7879 71 81 19
"Vlaams_Gewest" "Antwerpen" "Retie" 198.7 1 103 27.74421 5816 59 40 11
"Vlaams_Gewest" "Antwerpen" "Rijkevorsel" 255 8 151 25.86547 6237 54 59 10
"Vlaams_Gewest" "Antwerpen" "Turnhout" 205.8 54 855 25.58982 24708 252 198 40
"Vlaams_Gewest" "Antwerpen" "Vorselaar" 237.5 0 64 26.57535 4412 36 46 9
"Vlaams_Gewest" "Antwerpen" "Vosselaar" 265 0 91 33.05969 5763 40 39 11
"Vlaams_Gewest" "Antwerpen" "Westerlo" 230 18 226 28.52195 13763 120 107 22
"Vlaams_Gewest" "Antwerpen" "Laakdal" 205 1 119 27.09136 8981 77 42 12
"Vlaams_Gewest" "Vlaams_Brabant" "Asse" 260 14 327 31.16494 17149 140 125 33
"Vlaams_Gewest" "Vlaams_Brabant" "Beersel" 255 2 172 33.77383 13122 97 121 22
"Vlaams_Gewest" "Vlaams_Brabant" "Bever" 270 0 13 30.64322 1141 12 15 3
"Vlaams_Gewest" "Vlaams_Brabant" "Dilbeek" 285 4 344 32.46544 22990 161 133 41
"Vlaams_Gewest" "Vlaams_Brabant" "Galmaarden" 230 1 46 30.74242 4753 26 30 15
"Vlaams_Gewest" "Vlaams_Brabant" "Gooik" 260 0 51 32.0973 5036 40 42 9
